,Unnamed: 0,ID,Region_name,Part_of
1,1,2,Caudoputamen,27
5,5,10,pars compacta,26
6,6,11,pars reticulata,26
7,7,13,Striatum ventral region,27
8,8,14,Pallidum dorsal region,28
9,9,15,Pallidum ventral region,28
11,11,17,Internal segment,14
12,12,18,External segment,14
13,13,19,Nucleus accumbens,13
14,14,20,Fundus of striatum,13
15,15,21,Substantia innominata,15
17,17,23,Subthalamic nucleus,33
20,20,26,Substantia nigra,33
21,21,27,Striatum,33
22,22,28,Pallidum,33
27,27,33,Brain,
29,29,35,Ventral tegmental area,33